,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
809,frozenset({'Unscathed'}),"frozenset({'male', 'NA'})",0.429886203004078,0.6666248586153399,0.308217428985635,0.716974461687274,1.0755291411972188,0.02164459968735616,1.1778977380348652
810,"frozenset({'male', 'Driver'})",frozenset({'Unscathed'}),0.5805725895116028,0.429886203004078,0.27778625238277643,0.47846945825751014,1.1130142230988773,0.0282061063093883,1.0931551488645523
811,"frozenset({'male', 'Unscathed'})",frozenset({'Driver'}),0.3085439837649167,0.7873602961365971,0.27778625238277643,0.9003133005322996,1.1434578362027372,0.03485096995446621,2.1330799895958097
812,"frozenset({'Driver', 'Unscathed'})",frozenset({'male'}),0.37442499805084084,0.6815429882813162,0.27778625238277643,0.7419009249619001,1.0885607184262753,0.022599520323980382,1.2338556876721622
813,frozenset({'male'}),"frozenset({'Driver', 'Unscathed'})",0.6815429882813162,0.37442499805084084,0.27778625238277643,0.40758434487497996,1.088560718426275,0.022599520323980382,1.0559731103276488
814,frozenset({'Driver'}),"frozenset({'male', 'Unscathed'})",0.7873602961365971,0.3085439837649167,0.27778625238277643,0.3528070360492041,1.143457836202737,0.03485096995446621,1.0683923570708855
815,frozenset({'Unscathed'}),"frozenset({'male', 'Driver'})",0.429886203004078,0.5805725895116028,0.27778625238277643,0.6461855496677601,1.1130142230988773,0.0282061063093883,1.1854445461301684
816,"frozenset({'male', 'Unscathed'})",frozenset({'Yes'}),0.3085439837649167,0.7927964727564049,0.25314944570433573,0.8204646955528171,1.0348995281225395,0.008536863685300322,1.1541102062438748
817,"frozenset({'male', 'Yes'})",frozenset({'Unscathed'}),0.5403216056099626,0.429886203004078,0.25314944570433573,0.4685162375073978,1.0898610707516783,0.020872642267601993,1.0726833766701527
818,"frozenset({'Yes', 'Unscathed'})",frozenset({'male'}),0.35615770448939377,0.6815429882813162,0.25314944570433573,0.7107790804842028,1.0428969158300825,0.010412659487220338,1.1010856761393075
819,frozenset({'male'}),"frozenset({'Yes', 'Unscathed'})",0.6815429882813162,0.35615770448939377,0.25314944570433573,0.37143577156111074,1.0428969158300827,0.010412659487220338,1.0243062942185905
820,frozenset({'Unscathed'}),"frozenset({'male', 'Yes'})",0.429886203004078,0.5403216056099626,0.25314944570433573,0.5888754836403398,1.0898610707516783,0.020872642267601993,1.1181001767063226
821,frozenset({'Yes'}),"frozenset({'male', 'Unscathed'})",0.7927964727564049,0.3085439837649167,0.25314944570433573,0.3193120232033608,1.0348995281225395,0.008536863685300322,1.015819347197991
822,"frozenset({'male', 'Seatbelt'})",frozenset({'Unscathed'}),0.36978430435357407,0.429886203004078,0.2350346950328645,0.6355994353079222,1.4785295058699355,0.0760695245038022,1.5645250096625782
823,"frozenset({'male', 'Unscathed'})",frozenset({'Seatbelt'}),0.3085439837649167,0.5878511452581195,0.2350346950328645,0.7617542632493531,1.2958284922875747,0.053656760814155574,1.729931709851515
824,"frozenset({'Seatbelt', 'Unscathed'})",frozenset({'male'}),0.3348113044450998,0.6815429882813162,0.2350346950328645,0.7019915155565004,1.030003283177706,0.006846398090985639,1.0686172654223913
825,frozenset({'male'}),"frozenset({'Seatbelt', 'Unscathed'})",0.6815429882813162,0.3348113044450998,0.2350346950328645,0.3448567428234633,1.030003283177706,0.006846398090985639,1.015333193569993
826,frozenset({'Seatbelt'}),"frozenset({'male', 'Unscathed'})",0.5878511452581195,0.3085439837649167,0.2350346950328645,0.39982008528649393,1.2958284922875747,0.053656760814155574,1.152081233116819
827,frozenset({'Unscathed'}),"frozenset({'male', 'Seatbelt'})",0.429886203004078,0.36978430435357407,0.2350346950328645,0.5467370047943477,1.4785295058699355,0.0760695245038022,1.3903974123466392
